lot;domaine;travail;estime_min_h_personnes;estime_max_h_personnes;responsable_propose;dependance
C01;Collectif;Cadrage, marché, CDC, règles scénario et go/no-go;18;26;Collectif;Disponibilités équipe
B01;Backend;Bootstrap, Compose, extensions, migrations, contrat API initial;16;24;Backend/infra;Dépôt cible
B02;Backend;Auth, sessions, affiliations, CGU et permissions;22;32;Backend;B01
B03;Backend;Profils, FINESS, qualifications et référentiels;16;24;Backend;B02
B04;Backend;Disponibilités, historique et favoris;16;24;Backend;B03
B05;Backend;Missions, candidatures, consentement et affectation atomique;28;42;Backend;B02-B04
B06;Backend;Recherche PostGIS et matching avec traces MongoDB;22;32;Backend;B03-B05
B07;Backend;RPPS API, états, reprise et contrôles serveur;12;20;Backend;Accès ANS
B08;Backend;Import offres API, CLI, nettoyage et manifeste;18;28;Backend/data;Accès France Travail
B09;Backend;RIB et justificatif privés, chiffrement et rotation;16;24;Backend;B02
B10;Backend;Trois workflows, outbox et confirmation PDF;22;34;Backend/automation;B05-B09
F01;Frontend;Écrans comptes, profils, recherche, calendriers et dashboards;44;64;Frontend;Contrats API
F02;Frontend;Responsive, accessibilité, SEO et pratiques RGESN;14;22;Frontend;F01
Q01;Qualité;Tests dédiés unitaires/intégration, concurrence et coverage;26;40;QA/backend;Parcours intégrés
Q02;Qualité;Recette sécurité, TLS, sauvegardes, restauration et incident;18;28;Infra/QA;Déploiement
Q03;Qualité;Recette collective et corrections transverses;18;30;Équipe;Lots intégrés
D01;Collectif;README, matrice, exports, temps réels et pitch;14;22;Collectif;Preuves de lots
D02;Collectif;Répétition et livraison propre;8;12;Équipe;D01
