id;exigence;etat_2026_09_16;preuve_ou_code;reste
F01;"Deux entrées Infirmier et Entreprise ; entreprise de type établissement ou agence ; authentification classique.";Implémenté localement;"Comptes candidat/entreprise, agences/établissements, inscription, connexion, déconnexion et Google. Code : auth/auth.module.ts ; auth/google.ts ; common/access.ts. Front : /inscription ; /connexion";"Google utilisateur à confirmer ; gestion autonome du compte/reset absents."
F02;Profil infirmier, diplômes, compétences, expérience par service, disponibilités, mobilité et RIB fictif chiffré.;Implémenté, limites documentaires;"Profil détaillé, disponibilités, mobilité et banque fictive persistés. Code : profiles/profiles.module.ts ; profiles/profile-details.ts ; documents/documents.module.ts. Front : /profil ; /calendrier ; /dossier";Banque limitée à IBAN fictif : pas de BIC/titulaire persistés ni paiement.
F02 bis;Profil établissement, FINESS obligatoire, nom, adresse, référent et acceptation des CGU.;Implémenté, assistance partielle;"Organisations, référent, FINESS texte obligatoire établissement ; SIRET agence. Code : auth/auth.module.ts ; organizations/organizations.module.ts ; reference-data/finess.module.ts. Front : /inscription ; /organisation";"Recherche FINESS officielle disponible sans sélecteur relié au formulaire ; pas de preuve d’appartenance."
F03;Données du tableau de bord infirmier : propositions, favoris, disponibilités et accès au profil.;Partiel;"Tableau candidat connecté : compteurs, profil, notifications et liens. Code : listings/listings.module.ts ; matching/matching.module.ts. Front : /accueil";Recommandations /me/matches non intégrées au tableau.
F04 + F16;Matching déterministe hiérarchique et explicable.;Backend implémenté, front partiel;"Matching déterministe : conditions bloquantes puis score ; historique Mongo ; propositions agence. Code : domain/matching.ts ; matching/matching.module.ts. Front : /gestion/missions/:id";Explications et recommandations candidat non raccordées.
F05;Recherche manuelle multi-types de missions, filtres métier, dates, horaires et distance.;Backend avancé, front partiel;"Filtres multi-qualifications et branches métier ; pagination. Code : listings/search.ts ; listings/listings.module.ts. Front : /missions ; services/market.ts";"Front envoie qualifications/limit/offset seulement ; texte filtré sur la page courante ; pas de filtres dates/rayon/services complets."
F06;Ajouter, consulter et supprimer des offres favorites et des établissements favoris.;Implémenté, scénarios testés;"Favoris privés internes/externes/établissements : ajout/liste/retrait. Code : listings/listings.module.ts. Front : /favoris ; cartes ; /etablissements/:id";Recette finale des états expirés à conserver.
F07;"Postuler, suivre et retirer une candidature ; sélectionner ou refuser côté entreprise selon les droits.";Implémenté, scénarios testés;"Candidature interne, consentement versionné, retrait/sélection/refus ; externe par redirection. Code : missions/missions.module.ts ; missions/missions.service.ts. Front : /candidatures ; /candidatures/:id ; /missions/:id/candidater";Pas de suivi de l’issue des candidatures sur sites externes.
F08;"Intervalles de disponibilité et d’indisponibilité ; mobilité.";Implémenté, scénarios testés;"Disponibilités/indisponibilités et mobilité ; nuits, périodes entières et conflits. Code : profiles/profiles.module.ts ; domain/matching.ts. Front : /profil ; /calendrier";"Interface en dates/journées conformément à la demande utilisateur ; pas d’horaires fins."
F09;Historique et calendrier des missions affectées, à venir, en cours, annulées et passées.;Partiel;"Historique des affectations et états temporels accessibles. Code : listings/listings.module.ts. Front : /historique ; /calendrier";/calendrier édite les disponibilités, sans calendrier visuel des missions confirmées.
F12;Trois workflows n8n : notification de correspondance, génération d’une confirmation de mission depuis un modèle et relance d’une mission non pourvue.;Implémenté localement;"Trois workflows, worker/outbox, notifications et PDF fictif après décision humaine. Code : automation/automation.module.ts ; worker.ts. Front : /accueil ; /historique ; confirmations";"Validation finale de l’environnement ; pas d’email/SMS/Slack/Discord démontré."
F15;Acquisition d’offres par API, nettoyage, stockage et affichage dans la plateforme.;Cycle fournisseur partiel;"France Travail : acquisition, normalisation, stockage, upsert et provenance. Code : public-data/offers.ts ; cli.ts. Front : /missions ; /missions/:id";Les offres vues sont réactivées, celles absentes d’un nouveau lot ne sont pas retirées systématiquement.
F17;Création, modification, publication et clôture des missions par l’agence.;Implémenté, scénarios testés;"Créer/modifier/publier/annuler/rouvrir/clôturer selon droits et états. Code : missions/missions.module.ts ; missions/missions.service.ts. Front : /gestion/missions/* ; /besoins";Agence crée les missions, établissement exprime les besoins. Rattachement entre eux par CLI.
