id;exigence;preuve_attendue;etat_application;preuve_observee;responsable;date;commit
F01;"Deux entrées Infirmier et Entreprise ; entreprise de type établissement ou agence ; authentification classique.";Inscription et permissions distinctes, connexion et déconnexion sécurisées.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F02;Profil infirmier, diplômes, compétences, expérience par service, disponibilités, mobilité et RIB fictif chiffré.;"Données modifiables par leur titulaire ; champs obligatoires explicites ; RIB protégé et masqué.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F02 bis;Profil établissement, FINESS obligatoire, nom, adresse, référent et acceptation des CGU.;"FINESS enregistré comme identifiant texte ; agence distinguée d’un établissement.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F03;Données du tableau de bord infirmier : propositions, favoris, disponibilités et accès au profil.;API utilisable par les écrans de l’équipe, avec états vides et erreurs.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F04 + F16;Matching déterministe hiérarchique et explicable.;Qualifications et prérequis bloquants, score documenté, aucun placement automatique.;"backend teste sur scenarios ; integration frontend et validation integrale restantes";"71 tests ; comparaison partielle privee ; includeUncertainExternal explicite ; proofs/external-partial-live.json (offres reelles, profils fictifs) ; frontend restant.";Equipe backend / collectif selon exigence;2026-09-15;voir proofs/verification.json
F05;Recherche manuelle multi-types de missions, filtres métier, dates, horaires et distance.;Un IADE ou IBODE recherchant une mission IDE retrouve tous les filtres IDE.;"backend teste sur scenarios ; integration frontend et validation integrale restantes";"71 tests ; comparaison partielle privee ; includeUncertainExternal explicite ; proofs/external-partial-live.json (offres reelles, profils fictifs) ; frontend restant.";Equipe backend / collectif selon exigence;2026-09-15;voir proofs/verification.json
F06;Ajouter, consulter et supprimer des offres favorites et des établissements favoris.;Favoris privés, sans doublons, avec traitement d’une offre expirée.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F07;"Postuler, suivre et retirer une candidature ; sélectionner ou refuser côté entreprise selon les droits.";"Candidature interne persistée ; transitions tracées ; candidature externe distinguée.";teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F08;"Intervalles de disponibilité et d’indisponibilité ; mobilité.";Contrôle des dates et prise en compte des intervalles complets.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
F09;Historique et calendrier des missions affectées, à venir, en cours, annulées et passées.;État métier et position dans le temps distingués, historique conservé.;teste sur scenarios - validation integrale restante;"docs/RECETTE_BACKEND_V1.md ; docs/proofs/verification.json (56 tests). Voir limites par exigence.";Equipe backend / collectif selon exigence;2026-09-15;e5a2d72db53559d7ee787e95e9d07ecb6d6ea574
