Domaine;Routes relatives à /api/v1;Intégration;Preuve backend
Auth;"GET /auth/csrf ; POST /auth/register, /auth/login, /auth/logout ; GET /auth/me";"Raccordé ; onboarding incomplet";auth/auth.module.ts
Google;"GET /auth/google/config ; POST /auth/google/challenge ; POST /auth/google";Préparé, non configuré;auth/auth.module.ts
Profil;GET/PUT /profile;Partiel;profiles/profiles.module.ts
RPPS;"PUT /profile/rpps ; POST /profile/rpps/retry";Non raccordé;profiles/profiles.module.ts
Recherche/détail;"POST /listings/search ; GET /listings/:id";Partiel;listings/listings.module.ts
Public/correspondance;"GET /listings/external ; GET /me/listings/:id/correspondence";Non raccordé directement;listings/listings.module.ts
Matching;"GET /me/matches ; GET /missions/:id/candidates ; GET /matches/:id/explanation";"Non raccordé ; respecter propriétaire des explications";matching/matching.module.ts
Favoris;"GET/POST /me/favorites ; DELETE /me/favorites/:kind/:id";Partiel;listings/listings.module.ts
Référentiel;"GET /facilities ; GET /reference-data/finess ; GET /reference-data/finess/:finess";Non raccordé;reference-data/finess.module.ts
Candidatures;"POST /missions/:id/applications ; GET /me/applications ; POST /applications/:id/withdrawal";"Raccordé partiellement ; réussite complète non recettée";missions/missions.module.ts
Examen;"GET /missions/:id/applications ; POST /applications/:id/selection, /rejection";"Non raccordé ; profil candidat à enrichir";missions/missions.module.ts
Missions;"GET/POST /missions ; PUT /missions/:id ; POST /missions/:id/publish, /cancel, /reopen, /complete";Lecture seule raccordée;missions/missions.module.ts
Affectation;POST /missions/:id/assignments;Non raccordé;missions/missions.module.ts
Confirmation;"GET /assignments/:id/confirmation ; GET /me/documents/:id";Non raccordé;organizations/organizations.module.ts
Historique;GET /me/history;"Non raccordé ; timeline à enrichir";listings/listings.module.ts
Accueil/notifications;"GET /dashboards ; GET /me/notifications ; POST /me/notifications/:id/read";Partiel;listings/listings.module.ts
Organisation;"PUT /organizations/:id ; GET/POST /staffing-requests";Non raccordé;organizations/organizations.module.ts
Préférences;PUT /me/notification-preferences;"Non raccordé ; infirmier";organizations/organizations.module.ts
Documents/RIB;"GET/POST /me/documents ; GET /me/documents/:id ; GET/PUT /me/bank-details";"Non raccordé ; données fictives";documents/documents.module.ts
