Numéro;Page;Fonctions V1;Route actuelle;État;Présent;Manques;Front-back;Liens entre pages;Priorité
01;Accueil public;F03;/;Partiel;Connexion et inscription accessibles.;Recherche et raccourcis métier absents.;"GET /listings/external disponible ; recherche personnalisée protégée.";Accueil → recherche → détail → connexion avec retour au détail.;P2
02;Connexion;F01;/connexion;Couvert sur le périmètre dessiné;Email/mot de passe, session serveur, déconnexion.;"Destination initiale perdue après connexion ; Google non configuré ; récupération du mot de passe supplémentaire non fonctionnelle.";/auth/login, /auth/me, /auth/logout, /auth/csrf raccordés.;"Connexion → accueil adapté au rôle ; conserver URL demandée.";P1
03;Inscription intérimaire;F01,F02;/inscription/*;Partiel;Étapes, validations, création compte et confirmation.;Identité professionnelle, ville, qualifications, mobilité, disponibilités et RIB collectés mais non persistés par ce parcours.;"POST /auth/register reçoit seulement email/password/family/termsVersion pour infirmier ; PUT /profile non appelé.";Inscription → profil sauvegardé → dossier/RPPS → accueil.;P0
04;Tableau de bord intérimaire;F03,F12;/accueil;Partiel;Compteurs, notifications et marquage lu.;Recommandations, prochaine mission/PDF, résumé disponibilités, liens dossier/favoris.;"/dashboards et /me/notifications raccordés ; /me/matches et /me/history non consommés.";Accueil → recommandation, calendrier, dossier, favoris, confirmation.;P1
05;Recherche missions;F04,F05,F15,F16,F20;/missions;Partiel;Liste interne/externe réelle, pagination, filtre qualification simple et favoris mission.;"Filtres multiples par branche, lieu/rayon/date/horaire ; pertinence, explications et alertes qualité. Texte filtré seulement sur page chargée.";"POST /listings/search reçoit qualifications/limit/offset ; recherche chronologique ; matching distinct non appelé.";Recherche avec critères persistants → détail → retour à la même page.;P1
06;Détail mission;F05,F06,F07;/missions/:id;Partiel;Description, dates, salaire, compétences requises, candidature ou lien source.;Population/bloc/spécialité, expérience, identités établissement/agence, distance, admissibilité et favoris de fiche incomplets.;"GET /listings/:id raccordé ; DTO/affichage à enrichir.";Liste/favoris → détail → candidater en interne ou site source externe.;P1
07;Suivi candidatures;F07,F12;/candidatures;Partiel;Liste et retrait, message de changement de version.;"Onglets, chronologie, détail candidature/PDF ; date created_at absente du contrat ; ACCEPTED non traduit ; reconsentement peu guidé.";"GET /me/applications ; POST /applications/:id/withdrawal. Pas de timeline dans cette réponse.";"Candidature → suivi → événements/confirmation ; mission modifiée → nouveau consentement.";P0
08;Disponibilités et mobilité;F08,F09;/calendrier et /profil;Partiel;"Périodes disponibles/indisponibles éditables ; mobilité dans profil.";Calendrier visuel, affectations superposées, historique et mobilité réunie absents. Sauvegarde dépend du profil complet.;"GET/PUT /profile raccordés ; /me/history non consommé.";"Accueil → calendrier ↔ historique ; lien vers profil incomplet.";P1
09;Profil professionnel;F02,F04;/profil;Partiel;Nom affiché, diplômes IDE/IADE/IBODE, GPS/rayon, horaires, visibilité et périodes.;"Édition compétences/expériences ; identité/ville et diplômes/années structurés ; RIB ; action RPPS.";"GET/PUT /profile partiels ; compétences/expériences déjà supportées ; autres champs nécessitent mapping/modèle.";"Profil → dossier/RPPS/RIB → recommandations ; relire après sauvegarde.";P0
10;Dossier et justificatif;F18,F22;Aucune;Absent;Statut RPPS seulement visible ailleurs.;"Saisie/vérification/retry RPPS ; dépôt, liste et lecture document. Références dessinées hors V1.";"PUT /profile/rpps ; POST /profile/rpps/retry ; GET/POST /me/documents ; GET /me/documents/:id.";Profil/accueil → dossier → vérifier → retour candidature.;P0
11;Favoris missions/établissements;F06;Aucune;Absent;Actions favoris mission dans recherche.;"Écran dédié, onglets et favoris établissement ; pagination au-delà des 50 chargés.";GET/POST/DELETE /me/favorites : MISSION, EXTERNAL, ESTABLISHMENT disponibles.;Menu/accueil → favoris → mission/source/établissement.;P1
12;Historique missions;F09;Aucune;Absent;Aucune vue des affectations passées.;Liste, filtres temporels/métier, détail et chronologie.;"GET /me/history disponible pour infirmier ; pas de timeline complète.";Calendrier/accueil → historique → mission → confirmation.;P1
13;Tableau de bord établissement;F07,F12;/accueil partagé;Partiel;Compteurs de missions et notifications génériques.;Candidats récents, renfort/PDF, agence liée, liens examen.;"/dashboards : comptes par statut ; enrichir synthèses candidats/affectations.";"Accueil établissement → missions → candidatures ; renfort → PDF.";P1
14;Missions établissement;F07,F17,F19;/missions partagé;Partiel;Liste des missions de son organisation.;Tableau et filtres métier, nombres candidats, professionnel affecté, actions par rôle.;"GET /missions raccordé ; APIs candidats et transitions séparées.";Liste → détail → examiner candidatures.;P1
15;Examen candidatures;F07;Aucune;Absent;Règles/API serveur disponibles.;Liste/détail professionnel, sélection et refus dans le front.;"GET /missions/:id/applications ; POST /applications/:id/selection et /rejection. Réponse profil à enrichir : expérience/disponibilités/mobilité.";Mission → candidats → profil → sélectionner/refuser → agence.;P0
16;Profil établissement / FINESS;F02 bis;/profil caché du menu entreprise;Partiel;Affichage lecture seule nom/email/adresse/FINESS.;"Édition, référent complet, accès menu, recherche FINESS ; format corse supporté côté serveur mais pas formulaire numérique.";"PUT /organizations/:id ; GET /reference-data/finess. User frontend perd id organisation/référent.";Menu → profil → FINESS → sauvegarde → rechargement.;P1
17;Créer/publier mission;F17;Aucune;Absent;Gestion serveur des missions.;"Formulaires agence création/édition/publication/clôture ; vrai accès agence et contexte affiliation.";"POST /missions ; PUT /missions/:id ; POST publish/cancel/reopen/complete.";Agence → nouvelle mission → brouillon → publier → candidats → terminer.;P0
18;Valider affectation;F12,F18,F19;Aucune;Absent;Affectation humaine et confirmation serveur.;Écran agence candidats/profils proposés, critères bloquants, décision et téléchargement.;"GET /missions/:id/applications et /candidates ; POST /missions/:id/assignments ; GET /assignments/:id/confirmation puis /me/documents/:id.";"Agence → candidats → décision manuelle → FILLED → PDF ; sélection établissement ≠ affectation.";P0
