fichier,format,portee,controle
README.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/ACQUISITION_REELLE.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/ADAPTATEURS_EXTERNES.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/ARCHIVES.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/AUTOMATIONS_VALIDATION_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/AUTOMATISATIONS.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/CATALOGUE_FONCTIONNALITES_V1_ACTUALISE.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs/CHIFFRAGE_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/CLINICAL_SKILLS_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/CONSERVATION_UTILISATEURS_REELS.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/CONTENU_VAULT_V1.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs/DECISIONS_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/DEPLOIEMENT_INVENTAIRE.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/DEPLOIEMENT_PRODUCTION.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/EMAILS_LIVRAISON.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/EMAILS_MISSIONS.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/ENTERPRISE_FOLLOW_UP.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/ENTERPRISE_MISSION_SEARCH_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/EXPLICATION_MATCHING_DONNEES_MANQUANTES.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs/EXPLICATION_MATCHING_DONNEES_MANQUANTES.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/FLUX_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/FRONTEND_AUTH_GOOGLE.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/GARDE_FOU_DOUBLONS_OFFRES.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/GUIDE_UTILISATEUR.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/INVENTAIRE_DOCUMENTAIRE.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/JOBSPIPE_V1.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/NOTIFICATIONS_DISCORD.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/OFFRES_EXTERNES_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/PLANNING_4_PERSONNES_11_JOURS.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/PRACTICE_SERVICES_2026-09-18.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/README.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/RECETTE_BACKEND_V1.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
docs/RECTIFICATIF_CATALOGUE_V1.docx,docx,Référence courante revue ou corrigée,Archive Office et XML lisibles
docs/RECTIFICATIF_CATALOGUE_V1.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
docs/REQUIREMENTS_V1.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/SCHEMA_ARCHITECTURE_V1.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/VAULT_V1.md,md,Référence courante revue ou corrigée,Lecture UTF-8 et liens locaux
docs/architecture-v1.mmd,mmd,Document spécialisé : portée propre,Fichier présent
annexe/diagrams/architecture-infimatch-v1.pdf,pdf,Document spécialisé : portée propre,Fichier présent
annexe/n8n/legacy-demo-suppression.md,md,Document spécialisé : portée propre,Lecture UTF-8 et liens locaux
annexe/presentation/DEMONSTRATION.md,md,"Support technique actualisé, répétition humaine à faire",Lecture UTF-8 et liens locaux
annexe/presentation/DOSSIER_SOUTENANCE.md,md,"Support technique actualisé, répétition humaine à faire",Lecture UTF-8 et liens locaux
annexe/presentation/InfiMatch_Soutenance.pdf,pdf,"Support technique actualisé, répétition humaine à faire",Fichier présent
annexe/presentation/InfiMatch_Soutenance.pptx,pptx,"Support technique actualisé, répétition humaine à faire",Archive Office et XML lisibles
annexe/proofs/parser-pilot-v2/COMPARAISON.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
annexe/proofs/parser-pilot-v3/COMPARAISON.md,md,"Preuve historique, résultats non réactualisés",Lecture UTF-8 et liens locaux
